"Activity" "Subjects" "V4" "V5" "V6" "V7" "V8" "V9" "V44" "V45" "V46" "V47" "V48" "V49" "V84" "V85" "V86" "V87" "V88" "V89" "V124" "V125" "V126" "V127" "V128" "V129" "V164" "V165" "V166" "V167" "V168" "V169" "V202" "V203" "V215" "V216" "V228" "V229" "V241" "V242" "V254" "V255" "V269" "V270" "V271" "V272" "V273" "V274" "V348" "V349" "V350" "V351" "V352" "V353" "V427" "V428" "V429" "V430" "V431" "V432" "V504" "V505" "V517" "V518" "V530" "V531" "V543" "V544"
"LAYING" 1 -0.9280564692 -0.83682740562 -0.826061401628 -0.9321111728 -0.84091058864 -0.82176998216 -0.8968300184 -0.90772000676 -0.85236629022 -0.899296135 -0.90993878264 -0.85496697974 -0.958482112 -0.9241492736 -0.9548551108 -0.963631469 -0.9337327962 -0.9592706186 -0.87354386782 -0.9510904402 -0.9082846626 -0.9002609456 -0.9582119812 -0.9168893878 -0.9186085208 -0.9679072436 -0.9577901596 -0.9442481804 -0.9743550202 -0.9645409754 -0.79514486386 -0.81016936098 -0.79514486386 -0.81016936098 -0.9282456284 -0.935812144 -0.81901016976 -0.83451699672 -0.9358409828 -0.9481355368 -0.9244374346 -0.8336255561 -0.81289155944 -0.9357414446 -0.8562608991 -0.851919211 -0.9641607086 -0.9322178704 -0.9605869872 -0.9532392948 -0.9304323224 -0.9568036188 -0.8822964508 -0.9512320494 -0.9165825082 -0.85334024058 -0.954608974 -0.9076752988 -0.7983009404 -0.82709156406 -0.9218039756 -0.9280787516 -0.82431943968 -0.82355384772 -0.9326606676 -0.9298067252
"LAYING" 2 -0.974059464791667 -0.98027739875 -0.984233296875 -0.976606966458333 -0.980963747291667 -0.984844731458333 -0.959014441458333 -0.988211865208333 -0.984230418125 -0.962074936458333 -0.988574231875 -0.984594021666667 -0.98587216875 -0.98317254125 -0.988442014375 -0.98729154125 -0.982233845208333 -0.987681346666667 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.988574029583333 -0.983582322083333 -0.9602171075 -0.993235849166667 -0.989567537916667 -0.98803582125 -0.993824839583333 -0.990951233125 -0.98958314875 -0.972873912916667 -0.977229495416667 -0.972873912916667 -0.977229495416667 -0.98551807625 -0.987347631041667 -0.961164053958333 -0.956437945208333 -0.989718095208333 -0.991351451666667 -0.973246482083333 -0.981025105625 -0.984792185 -0.9771644075 -0.982106668125 -0.98495954125 -0.987250255833333 -0.984987392916667 -0.989345368541667 -0.983314896458333 -0.984576853541667 -0.988304917083333 -0.988860685833333 -0.981910616458333 -0.963174222291667 -0.987988235416667 -0.985291489375 -0.965524786041667 -0.975121387916667 -0.974703681458333 -0.984568489166667 -0.983004468958333 -0.96109837875 -0.966822267291667 -0.989492660416667 -0.989112383333333
"LAYING" 3 -0.982776639193548 -0.962057544516129 -0.96369103483871 -0.985280124193548 -0.965100051612903 -0.966039688870968 -0.982512193064516 -0.981202749677419 -0.964807543870968 -0.983290148387097 -0.982102795806452 -0.967132434032258 -0.98087931483871 -0.968710724677419 -0.982093162903226 -0.981888223870968 -0.96837358516129 -0.981426619354839 -0.974545752096774 -0.977272653709677 -0.963505609032258 -0.977285024032258 -0.980351052096774 -0.964472389354839 -0.980328645 -0.986762741935484 -0.983338279516129 -0.982116066290323 -0.988791982258065 -0.985293341451613 -0.964218176451613 -0.969268846129032 -0.964218176451613 -0.969268846129032 -0.976121297903226 -0.978823226774194 -0.954275110967742 -0.950223007419355 -0.983139255645161 -0.98485261016129 -0.983691129032258 -0.964094604193548 -0.96327908016129 -0.981461533870968 -0.96446409 -0.964772261290323 -0.983122615967742 -0.971044012741936 -0.983711904677419 -0.978107287258065 -0.970484568548387 -0.98163745516129 -0.975986433709677 -0.977032495483871 -0.967256854193548 -0.96997823 -0.979436310806452 -0.96541116516129 -0.968350217419355 -0.964753405806452 -0.975305377903226 -0.972624411129032 -0.955441855806452 -0.957370892258064 -0.982568158064516 -0.982288811774194
"LAYING" 4 -0.954193738888889 -0.941714042407407 -0.962667314814815 -0.957949598333333 -0.945799266851852 -0.962876286666667 -0.921199965925926 -0.969816635740741 -0.976176608888889 -0.925286638518519 -0.971696884074074 -0.977004231851852 -0.978302781111111 -0.942209488333333 -0.978511984259259 -0.979712549259259 -0.944412205185185 -0.977857508888889 -0.973102422222222 -0.961109291851852 -0.962073755 -0.973955353148148 -0.961461277222222 -0.962857106851852 -0.975103204259259 -0.986855629814815 -0.983965359814815 -0.977078201111111 -0.988151532777778 -0.985810867592593 -0.931292216611111 -0.938656310740741 -0.931292216611111 -0.938656310740741 -0.960786430740741 -0.964289142962963 -0.947031781666667 -0.939716569444444 -0.982698213703704 -0.983802027222222 -0.952464881481481 -0.946380971111111 -0.962154454259259 -0.958852738333333 -0.945616593333333 -0.965989206111111 -0.980079292592593 -0.944366881666667 -0.980261236296296 -0.975457210185185 -0.943445346481481 -0.978266828888889 -0.975094739444444 -0.956182500185185 -0.965807466666667 -0.971169256851852 -0.970082874074074 -0.965638284444444 -0.937187975962963 -0.938952220555556 -0.958037119259259 -0.959338719444444 -0.947100325185185 -0.953050380740741 -0.982543631666667 -0.983198737222222
"LAYING" 5 -0.965934509615385 -0.969295613269231 -0.968562516346154 -0.969061900384615 -0.971518238653846 -0.967242339230769 -0.945695336153846 -0.985964053846154 -0.977076645 -0.950040603076923 -0.987026821730769 -0.977141133076923 -0.983307862115385 -0.964560430961538 -0.985419368461538 -0.984312878076923 -0.963371414230769 -0.984666881346154 -0.979498706538461 -0.977427370576923 -0.960583776923077 -0.980498679038462 -0.978633520192308 -0.960920853846154 -0.983422257692308 -0.983759479230769 -0.989679592307692 -0.984063684423077 -0.985919064423077 -0.990394358269231 -0.958612786346154 -0.964077316153846 -0.958612786346154 -0.964077316153846 -0.977477145384615 -0.979572411153846 -0.958287921923077 -0.952875664807692 -0.98377138 -0.985668046730769 -0.964953893653846 -0.972909186730769 -0.965882191153846 -0.968811490192308 -0.971588565961538 -0.973991101346154 -0.985625270384615 -0.96624258 -0.986135599038461 -0.981433360769231 -0.966518180769231 -0.984635113461538 -0.980705769807692 -0.977257800961538 -0.963305738076923 -0.978494016730769 -0.982088523269231 -0.965608251923077 -0.962525369423077 -0.962334112692308 -0.976381934807692 -0.974132355576923 -0.959263063269231 -0.965399365384615 -0.983434493076923 -0.982914466538462
"LAYING" 6 -0.934049422052632 -0.924644826385965 -0.925216100350877 -0.938200964421053 -0.930008477368421 -0.923557278947368 -0.887746310350877 -0.959161956491228 -0.928130738421053 -0.889213758245614 -0.961227786315789 -0.929957902280702 -0.966341054736842 -0.933674494385965 -0.959646055263158 -0.967166701754386 -0.931934566140351 -0.958408400701754 -0.955378225087719 -0.943634949473684 -0.939141878596491 -0.958462365438597 -0.949109043333333 -0.942260580175439 -0.939611608245614 -0.958628819649123 -0.959579071578947 -0.942470715964912 -0.960732947894737 -0.964767240526316 -0.897326245964912 -0.906654035473684 -0.897326245964912 -0.906654035473684 -0.950341934385965 -0.952963866315789 -0.920914497017544 -0.915118535438596 -0.953157001578947 -0.957232578070175 -0.932462941461404 -0.929711219929825 -0.924004748421053 -0.937564390877193 -0.928885637017544 -0.934219861578947 -0.968619159473684 -0.935717452807018 -0.963567540877193 -0.96063123877193 -0.938331145087719 -0.958986867719298 -0.962164978596491 -0.945365097894737 -0.947136774385965 -0.947524418070175 -0.946597189122807 -0.938739118421053 -0.905373979824561 -0.907344106868421 -0.951552664035088 -0.946487944035088 -0.928694890175439 -0.926298457894737 -0.955504654561404 -0.951160637894737
"LAYING" 7 -0.93651361 -0.926262668653846 -0.952978365961539 -0.938656584230769 -0.926829713269231 -0.955840710384615 -0.914221270096154 -0.955543549230769 -0.961908984423077 -0.915924683923077 -0.956076519230769 -0.963594250576923 -0.980977756153846 -0.973093160192308 -0.972983064230769 -0.983230278076923 -0.976523128846154 -0.975943231538462 -0.9601268225 -0.945071935384615 -0.955294890576923 -0.966844451153846 -0.948698649423077 -0.957772460576923 -0.9738372325 -0.976483727307692 -0.988871878269231 -0.979799284615385 -0.981831231730769 -0.9910813 -0.907039513153846 -0.91691771425 -0.907039513153846 -0.91691771425 -0.967310932307692 -0.972148483076923 -0.918662459038462 -0.913216518269231 -0.971205137884615 -0.975149773076923 -0.931120580576923 -0.922917902307692 -0.953380646346154 -0.949373705 -0.939808885192308 -0.955137238461538 -0.983560175384615 -0.975886145 -0.975072995192308 -0.978896555192308 -0.975266063846154 -0.972979780769231 -0.962348254423077 -0.939727873653846 -0.9588764125 -0.956230867692308 -0.955792299038462 -0.959248403653846 -0.910542462919231 -0.918763874230769 -0.965359228076923 -0.9648493625 -0.918892518653846 -0.9266513225 -0.969403035384615 -0.969972382115385
"LAYING" 8 -0.94304121537037 -0.93489116 -0.932491454407407 -0.945418939814815 -0.932243176962963 -0.931656537092593 -0.918873192333333 -0.957990036481482 -0.94183626337037 -0.920075441666667 -0.958720392222222 -0.943700855574074 -0.973253042222222 -0.976520952037037 -0.96608757462963 -0.97585190462963 -0.976887623333333 -0.966587552592593 -0.965204017592593 -0.952039385740741 -0.96758975462963 -0.967480663148148 -0.956342956481481 -0.968330978518519 -0.969924077407407 -0.974186451851852 -0.987601203703704 -0.973609837222222 -0.978310559074074 -0.988868577407407 -0.91325033 -0.919475203824074 -0.91325033 -0.919475203824074 -0.962954517222222 -0.968292291111111 -0.932470764444444 -0.92896628462963 -0.969029111666667 -0.973939062222222 -0.940125298333333 -0.931236756962963 -0.931146497518519 -0.951487882222222 -0.950777089074074 -0.941832678518518 -0.975959911481481 -0.979170881666667 -0.968699222962963 -0.969273894259259 -0.978735621666667 -0.967468229814815 -0.967846360740741 -0.950316470925926 -0.970671966481481 -0.963017369444444 -0.958808158888889 -0.969906657962963 -0.917257979425926 -0.925429731259259 -0.963791094259259 -0.958237637037037 -0.93678697 -0.937835929444444 -0.971793279814815 -0.967863170925926
"LAYING" 9 -0.94233309 -0.9162927764 -0.9407072854 -0.94676803 -0.9185151018 -0.9441357138 -0.9218210626 -0.9699944882 -0.9712046902 -0.9239076792 -0.9703689336 -0.9727123584 -0.9647404702 -0.9639966798 -0.958562455 -0.9669566892 -0.9635751118 -0.9582723898 -0.9422465098 -0.9266185314 -0.9615953704 -0.9470797636 -0.9330202044 -0.9652502666 -0.945329035 -0.9621702422 -0.9770761602 -0.9514617038 -0.967586132 -0.9798058206 -0.91512680016 -0.923290547114 -0.91512680016 -0.923290547114 -0.9550268052 -0.960056587 -0.8985578738 -0.8928114554 -0.9528015598 -0.9582551896 -0.9409810272 -0.9128367508 -0.9419711636 -0.9429711056 -0.9285935844 -0.940875589 -0.9686013042 -0.966634136 -0.9597147176 -0.9603965374 -0.967372713 -0.9572578948 -0.9463891504 -0.9231319366 -0.965686312 -0.9304446418 -0.9324691552 -0.9575647122 -0.921929738394 -0.9215732614 -0.9550947122 -0.9514344138 -0.9034005814 -0.902421547 -0.9522904702 -0.949150455
"LAYING" 10 -0.968283685 -0.946454302068966 -0.95947148637931 -0.971360300862069 -0.947498060982759 -0.959314181051724 -0.954531941896552 -0.966701156034483 -0.963045642431035 -0.955430987068966 -0.966755380344828 -0.963181248051724 -0.978007466724138 -0.966930793448276 -0.976256662586207 -0.979247219482759 -0.96846738637931 -0.977018255517241 -0.961713199827586 -0.953660207586207 -0.971940597413793 -0.966329291206897 -0.958405404310345 -0.974588270862069 -0.965900578103448 -0.966621040344828 -0.983949302758621 -0.970005908275862 -0.970059186551724 -0.986556338448276 -0.940301654482759 -0.944965189655172 -0.940301654482759 -0.944965189655172 -0.967556980689655 -0.972016680344828 -0.927471165517241 -0.924510234137931 -0.959632931551724 -0.964437568965517 -0.96796803862069 -0.946229148258621 -0.959813667810345 -0.967564717068966 -0.9551597 -0.964514534655172 -0.978904364137931 -0.968120692241379 -0.978582339137931 -0.974992943103448 -0.968961965172414 -0.975571228275862 -0.96454456637931 -0.953453496551724 -0.975298797068965 -0.956683402931034 -0.954465266206897 -0.971424488793103 -0.944304974655172 -0.948470481034483 -0.965377553448276 -0.963152197758621 -0.933701315344828 -0.930828794655172 -0.960772875517241 -0.957624963793103
